article_id,article_title,part,points,notes
'105,Убийство,1,,есть указание о редакции
'105,Убийство,2,а;б;в;г;д;е;ж;з;и;к;л;м;н;о,есть указание о редакции
'106,Убийство матерью новорожденного ребенка,,,есть указание о редакции
'107,"Убийство, совершенное в состоянии аффекта",1,,есть указание о редакции
'107,"Убийство, совершенное в состоянии аффекта",2,,есть указание о редакции
'108,"Убийство, совершенное при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление",1,,есть указание о редакции
'108,"Убийство, совершенное при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление",2,,есть указание о редакции
'109,Причинение смерти по неосторожности,1,,есть указание о редакции
'109,Причинение смерти по неосторожности,2,,есть указание о редакции
'109,Причинение смерти по неосторожности,3,,есть указание о редакции
'110,Доведение до самоубийства,,,есть указание о редакции
'110,Доведение до самоубийства,1,,есть указание о редакции
'110,Доведение до самоубийства,2,а;б;в;г;д,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,,,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,1,,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,2,,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,3,а;б;в;г;д,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,4,,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,5,,есть указание о редакции
'110.1,Склонение к совершению самоубийства или содействие совершению самоубийства,6,,есть указание о редакции
'110.2,"Организация деятельности, направленной на побуждение к совершению самоубийства",,,есть примечание; есть указание о редакции
'110.2,"Организация деятельности, направленной на побуждение к совершению самоубийства",1,,есть примечание; есть указание о редакции
'110.2,"Организация деятельности, направленной на побуждение к совершению самоубийства",2,,есть примечание; есть указание о редакции
'111,Умышленное причинение тяжкого вреда здоровью,,,есть примечание; есть указание о редакции
'111,Умышленное причинение тяжкого вреда здоровью,1,,есть примечание; есть указание о редакции
'111,Умышленное причинение тяжкого вреда здоровью,2,а;б;в;г;д;е;ж;з;и,есть примечание; есть указание о редакции
'111,Умышленное причинение тяжкого вреда здоровью,3,а;б;в,есть примечание; есть указание о редакции
'111,Умышленное причинение тяжкого вреда здоровью,4,,есть примечание; есть указание о редакции
'112,Умышленное причинение средней тяжести вреда здоровью,,,есть примечание; есть указание о редакции
'112,Умышленное причинение средней тяжести вреда здоровью,1,,есть примечание; есть указание о редакции
'112,Умышленное причинение средней тяжести вреда здоровью,2,а;б;в;г;д;е;ж;з;и,есть примечание; есть указание о редакции
'113,Причинение тяжкого или средней тяжести вреда здоровью в состоянии аффекта,,,есть указание о редакции
'114,"Причинение тяжкого или средней тяжести вреда здоровью при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление",1,,есть указание о редакции
'114,"Причинение тяжкого или средней тяжести вреда здоровью при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление",2,,есть указание о редакции
'115,Умышленное причинение легкого вреда здоровью,1,,есть указание о редакции
'115,Умышленное причинение легкого вреда здоровью,2,а;б;в;г;д,есть указание о редакции
'116,Побои,,,есть указание о редакции
'116.1,"Нанесение побоев лицом, подвергнутым административному наказанию или имеющим судимость",,,есть указание о редакции
'116.1,"Нанесение побоев лицом, подвергнутым административному наказанию или имеющим судимость",1,,есть указание о редакции
'116.1,"Нанесение побоев лицом, подвергнутым административному наказанию или имеющим судимость",2,,есть указание о редакции
'117,Истязание,1,,есть примечание; есть указание о редакции
'117,Истязание,2,а;б;в;г;д;е;ж;з;и,есть примечание; есть указание о редакции
'118,Причинение тяжкого вреда здоровью по неосторожности,,,есть указание о редакции; утратила силу
'118,Причинение тяжкого вреда здоровью по неосторожности,1,,есть указание о редакции; утратила силу
'118,Причинение тяжкого вреда здоровью по неосторожности,2,,есть указание о редакции; утратила силу
'118,Причинение тяжкого вреда здоровью по неосторожности,3,,есть указание о редакции; утратила силу
'118,Причинение тяжкого вреда здоровью по неосторожности,4,,есть указание о редакции; утратила силу
'119,Угроза убийством или причинением тяжкого вреда здоровью,1,,есть указание о редакции
'119,Угроза убийством или причинением тяжкого вреда здоровью,2,а;б;в,есть указание о редакции
'120,Принуждение к изъятию органов или тканей человека для трансплантации,1,,есть указание о редакции
'120,Принуждение к изъятию органов или тканей человека для трансплантации,2,,есть указание о редакции
'121,Заражение венерической болезнью,1,,есть указание о редакции
'121,Заражение венерической болезнью,2,,есть указание о редакции
'122,Заражение ВИЧ-инфекцией,1,,есть примечание; есть указание о редакции
'122,Заражение ВИЧ-инфекцией,2,,есть примечание; есть указание о редакции
'122,Заражение ВИЧ-инфекцией,3,,есть примечание; есть указание о редакции
'122,Заражение ВИЧ-инфекцией,4,,есть примечание; есть указание о редакции
'123,Незаконное проведение искусственного прерывания беременности,,,есть указание о редакции; утратила силу
'123,Незаконное проведение искусственного прерывания беременности,1,,есть указание о редакции; утратила силу
'123,Незаконное проведение искусственного прерывания беременности,2,,есть указание о редакции; утратила силу
'123,Незаконное проведение искусственного прерывания беременности,3,,есть указание о редакции; утратила силу
'124,Неоказание помощи больному,1,,есть указание о редакции
'124,Неоказание помощи больному,2,,есть указание о редакции
'124.1,Воспрепятствование оказанию медицинской помощи,,,
'124.1,Воспрепятствование оказанию медицинской помощи,1,,
'124.1,Воспрепятствование оказанию медицинской помощи,2,,
'125,Оставление в опасности,,,есть указание о редакции
'126,Похищение человека,1,,есть примечание; есть указание о редакции
'126,Похищение человека,2,а;б;в;г;д;е;ж;з;и,есть примечание; есть указание о редакции
'126,Похищение человека,3,а;б;в,есть примечание; есть указание о редакции
'127,Незаконное лишение свободы,1,,есть указание о редакции
'127,Незаконное лишение свободы,2,а;б;в;г;д;е;ж;з,есть указание о редакции
'127,Незаконное лишение свободы,3,,есть указание о редакции
'127.1,Торговля людьми,,,есть примечание; есть указание о редакции
'127.1,Торговля людьми,1,,есть примечание; есть указание о редакции
'127.1,Торговля людьми,2,а;б;в;г;д;е;ж;з;и,есть примечание; есть указание о редакции
'127.1,Торговля людьми,2,,есть примечание; есть указание о редакции
'127.1,Торговля людьми,3,а;б;в,есть примечание; есть указание о редакции
'127.2,Использование рабского труда,,,есть указание о редакции
'127.2,Использование рабского труда,1,,есть указание о редакции
'127.2,Использование рабского труда,2,а;б;в;г;д;е,есть указание о редакции
'127.2,Использование рабского труда,3,,есть указание о редакции
'128,"Незаконная госпитализация в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях",,,есть указание о редакции
'128,"Незаконная госпитализация в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях",1,,есть указание о редакции
'128,"Незаконная госпитализация в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях",2,,есть указание о редакции
'128.1,Клевета,,,есть примечание; есть указание о редакции
'128.1,Клевета,1,,есть примечание; есть указание о редакции
'128.1,Клевета,2,,есть примечание; есть указание о редакции
'128.1,Клевета,3,,есть примечание; есть указание о редакции
'128.1,Клевета,4,,есть примечание; есть указание о редакции
'128.1,Клевета,5,,есть примечание; есть указание о редакции
'129,Утратила силу. - Федеральный закон от 07.12.2011 N 420-ФЗ.,,,
'130,Утратила силу. - Федеральный закон от 07.12.2011 N 420-ФЗ.,,,
'131,Изнасилование,,,есть примечание; есть указание о редакции
'131,Изнасилование,1,,есть примечание; есть указание о редакции
'131,Изнасилование,2,а;б;в,есть примечание; есть указание о редакции
'131,Изнасилование,3,а;б,есть примечание; есть указание о редакции
'131,Изнасилование,4,а;б,есть примечание; есть указание о редакции
'131,Изнасилование,5,а;б;в;к,есть примечание; есть указание о редакции
'132,Насильственные действия сексуального характера,,,есть указание о редакции
'132,Насильственные действия сексуального характера,1,,есть указание о редакции
'132,Насильственные действия сексуального характера,2,а;б;в,есть указание о редакции
'132,Насильственные действия сексуального характера,3,а;б,есть указание о редакции
'132,Насильственные действия сексуального характера,4,а;б,есть указание о редакции
'132,Насильственные действия сексуального характера,5,а;б;в;к,есть указание о редакции
'133,Понуждение к действиям сексуального характера,1,,есть указание о редакции
'133,Понуждение к действиям сексуального характера,2,,есть указание о редакции
'133,Понуждение к действиям сексуального характера,3,а;б;в,есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",1,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",2,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",2,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",3,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",4,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",5,,есть примечание; есть указание о редакции
'134,"Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста",6,,есть примечание; есть указание о редакции
'135,Развратные действия,,,есть указание о редакции
'135,Развратные действия,1,,есть указание о редакции
'135,Развратные действия,2,,есть указание о редакции
'135,Развратные действия,3,,есть указание о редакции
'135,Развратные действия,4,,есть указание о редакции
'135,Развратные действия,5,,есть указание о редакции
'136,Нарушение равенства прав и свобод человека и гражданина,,,есть указание о редакции
'137,Нарушение неприкосновенности частной жизни,,,есть примечание; есть указание о редакции
'137,Нарушение неприкосновенности частной жизни,1,,есть примечание; есть указание о редакции
'137,Нарушение неприкосновенности частной жизни,2,,есть примечание; есть указание о редакции
'137,Нарушение неприкосновенности частной жизни,3,,есть примечание; есть указание о редакции
'138,"Нарушение тайны переписки, телефонных переговоров, почтовых, телеграфных или иных сообщений",1,,есть указание о редакции; утратила силу
'138,"Нарушение тайны переписки, телефонных переговоров, почтовых, телеграфных или иных сообщений",2,,есть указание о редакции; утратила силу
'138,"Нарушение тайны переписки, телефонных переговоров, почтовых, телеграфных или иных сообщений",3,,есть указание о редакции; утратила силу
'138.1,"Незаконный оборот специальных технических средств, предназначенных для негласного получения информации",,,есть примечание
'138.1,"Незаконный оборот специальных технических средств, предназначенных для негласного получения информации",2,,есть примечание
'139,Нарушение неприкосновенности жилища,1,,есть примечание; есть указание о редакции
'139,Нарушение неприкосновенности жилища,2,,есть примечание; есть указание о редакции
'139,Нарушение неприкосновенности жилища,3,,есть примечание; есть указание о редакции
'140,Отказ в предоставлении гражданину информации,,,есть указание о редакции
'141,Воспрепятствование осуществлению избирательных прав или работе избирательных комиссий,1,,есть указание о редакции
'141,Воспрепятствование осуществлению избирательных прав или работе избирательных комиссий,2,а;б;в,есть указание о редакции
'141,Воспрепятствование осуществлению избирательных прав или работе избирательных комиссий,3,,есть указание о редакции
'141.1,"Нарушение порядка финансирования избирательной кампании кандидата, избирательного объединения, деятельности инициативной группы по проведению референдума, иной группы участников референдума",,,есть примечание; есть указание о редакции
'141.1,"Нарушение порядка финансирования избирательной кампании кандидата, избирательного объединения, деятельности инициативной группы по проведению референдума, иной группы участников референдума",1,,есть примечание; есть указание о редакции
'141.1,"Нарушение порядка финансирования избирательной кампании кандидата, избирательного объединения, деятельности инициативной группы по проведению референдума, иной группы участников референдума",2,,есть примечание; есть указание о редакции
'142,"Фальсификация избирательных документов, документов референдума, документов общероссийского голосования",,,есть указание о редакции
'142,"Фальсификация избирательных документов, документов референдума, документов общероссийского голосования",1,,есть указание о редакции
'142,"Фальсификация избирательных документов, документов референдума, документов общероссийского голосования",2,,есть указание о редакции
'142,"Фальсификация избирательных документов, документов референдума, документов общероссийского голосования",3,,есть указание о редакции
'142.1,Фальсификация итогов голосования,,,есть указание о редакции
'142.2,"Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме, бюллетеня для общероссийского голосования",,,есть указание о редакции
'142.2,"Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме, бюллетеня для общероссийского голосования",1,,есть указание о редакции
'142.2,"Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме, бюллетеня для общероссийского голосования",2,,есть указание о редакции
'142.2,"Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме, бюллетеня для общероссийского голосования",3,,есть указание о редакции
'143,Нарушение требований охраны труда,,,есть примечание; есть указание о редакции
'143,Нарушение требований охраны труда,1,,есть примечание; есть указание о редакции
'143,Нарушение требований охраны труда,2,,есть примечание; есть указание о редакции
'143,Нарушение требований охраны труда,3,,есть примечание; есть указание о редакции
'144,Воспрепятствование законной профессиональной деятельности журналистов,1,,есть указание о редакции
'144,Воспрепятствование законной профессиональной деятельности журналистов,2,,есть указание о редакции
'144,Воспрепятствование законной профессиональной деятельности журналистов,3,,есть указание о редакции
'144.1,"Необоснованный отказ в приеме на работу или необоснованное увольнение лица, достигшего предпенсионного возраста",,,есть примечание
'145,"Необоснованный отказ в приеме на работу или необоснованное увольнение беременной женщины или женщины, имеющей детей в возрасте до трех лет",,,есть указание о редакции
'145.1,"Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат",,,есть примечание; есть указание о редакции
'145.1,"Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат",1,,есть примечание; есть указание о редакции
'145.1,"Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат",2,,есть примечание; есть указание о редакции
'145.1,"Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат",2,,есть примечание; есть указание о редакции
'145.1,"Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат",3,,есть примечание; есть указание о редакции
'146,Нарушение авторских и смежных прав,,,есть примечание; есть указание о редакции
'146,Нарушение авторских и смежных прав,1,,есть примечание; есть указание о редакции
'146,Нарушение авторских и смежных прав,2,,есть примечание; есть указание о редакции
'146,Нарушение авторских и смежных прав,3,а;б;в;г,есть примечание; есть указание о редакции
'147,Нарушение изобретательских и патентных прав,1,,есть указание о редакции
'147,Нарушение изобретательских и патентных прав,2,,есть указание о редакции
'148,Нарушение права на свободу совести и вероисповеданий,,,есть указание о редакции
'148,Нарушение права на свободу совести и вероисповеданий,1,,есть указание о редакции
'148,Нарушение права на свободу совести и вероисповеданий,2,,есть указание о редакции
'148,Нарушение права на свободу совести и вероисповеданий,3,,есть указание о редакции
'148,Нарушение права на свободу совести и вероисповеданий,4,а;б,есть указание о редакции
'149,"Воспрепятствование проведению собрания, митинга, демонстрации, шествия, пикетирования или участию в них",,,есть указание о редакции
'150,Вовлечение несовершеннолетнего в совершение преступления,1,,есть примечание; есть указание о редакции
'150,Вовлечение несовершеннолетнего в совершение преступления,2,а;б,есть примечание; есть указание о редакции
'150,Вовлечение несовершеннолетнего в совершение преступления,3,а;б;в,есть примечание; есть указание о редакции
'150,Вовлечение несовершеннолетнего в совершение преступления,4,а;б;в;г,есть примечание; есть указание о редакции
'151,Вовлечение несовершеннолетнего в совершение антиобщественных действий,1,,есть примечание; есть указание о редакции
'151,Вовлечение несовершеннолетнего в совершение антиобщественных действий,2,а;б,есть примечание; есть указание о редакции
'151,Вовлечение несовершеннолетнего в совершение антиобщественных действий,3,а;б;в,есть примечание; есть указание о редакции
'151.1,"Розничная продажа несовершеннолетним алкогольной продукции, табачной продукции, табачных изделий, никотинсодержащей продукции или сырья для их производства, кальянов, устройств для потребления никотинсодержащей продукции",,,есть примечание; есть указание о редакции
'151.2,"Вовлечение несовершеннолетнего в совершение действий, представляющих опасность для жизни несовершеннолетнего",,,
'151.2,"Вовлечение несовершеннолетнего в совершение действий, представляющих опасность для жизни несовершеннолетнего",1,,
'151.2,"Вовлечение несовершеннолетнего в совершение действий, представляющих опасность для жизни несовершеннолетнего",2,а;б;в,
'152,Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.,,,
'153,Подмена ребенка,,,есть указание о редакции
'154,Незаконное усыновление (удочерение),,,есть указание о редакции
'155,Разглашение тайны усыновления (удочерения),,,есть указание о редакции
'156,Неисполнение обязанностей по воспитанию несовершеннолетнего,,,есть указание о редакции
'157,Неуплата средств на содержание детей или нетрудоспособных родителей,,,есть примечание; есть указание о редакции
'157,Неуплата средств на содержание детей или нетрудоспособных родителей,1,,есть примечание; есть указание о редакции
'157,Неуплата средств на содержание детей или нетрудоспособных родителей,2,,есть примечание; есть указание о редакции
'157,Неуплата средств на содержание детей или нетрудоспособных родителей,2,,есть примечание; есть указание о редакции
'157,Неуплата средств на содержание детей или нетрудоспособных родителей,3,,есть примечание; есть указание о редакции
'158,Кража,,,есть примечание; есть указание о редакции
'158,Кража,1,,есть примечание; есть указание о редакции
'158,Кража,2,а;б;в;г,есть примечание; есть указание о редакции
'158,Кража,2,,есть примечание; есть указание о редакции
'158,Кража,3,а;б;в;г,есть примечание; есть указание о редакции
'158,Кража,3,,есть примечание; есть указание о редакции
'158,Кража,4,а;б,есть примечание; есть указание о редакции
'158,Кража,4,,есть примечание; есть указание о редакции
'158,Кража,5,,есть примечание; есть указание о редакции
'158.1,"Мелкое хищение, совершенное лицом, подвергнутым административному наказанию",,,
'159,Мошенничество,,,есть примечание; есть указание о редакции
'159,Мошенничество,1,,есть примечание; есть указание о редакции
'159,Мошенничество,2,,есть примечание; есть указание о редакции
